Date,EDH2020,EDZ2014,EDH2015,EDM2015,EDU2015,EDZ2015,EDH2016,EDM2016,EDU2016,EDZ2016,EDH2017,EDM2017,EDU2017,EDZ2017,EDH2018,EDM2018,EDU2018,EDZ2018,EDH2019,EDM2019,EDU2019,EDZ2019,EDM2020,EDU2020,EDZ2020
2013-01-02,1153.0,555624.0,444438.0,575760.0,427317.0,458227.0,274781.0,180781.0,158637.0,102841.0,89023.0,62962.0,56448.0,41051.0,15308.0,12877.0,9193.0,5441.0,5807.0,4233.0,2027.0,2413.0,1765.0,920.0,846.0
2013-01-03,1153.0,563027.0,446551.0,574847.0,418049.0,480003.0,280115.0,183945.0,157647.0,105299.0,89992.0,66374.0,57500.0,58802.0,16058.0,13531.0,9439.0,5611.0,5822.0,4264.0,2029.0,2342.0,1765.0,923.0,846.0
2013-01-04,1167.0,577533.0,449945.0,576704.0,425281.0,493202.0,278299.0,189261.0,161226.0,106965.0,90329.0,66994.0,57815.0,58257.0,16153.0,13531.0,9969.0,6522.0,5841.0,4272.0,2091.0,2338.0,1760.0,930.0,846.0
2013-01-07,1174.0,574342.0,456914.0,579165.0,412054.0,485374.0,277385.0,180463.0,161958.0,106788.0,92384.0,68331.0,58465.0,58633.0,16951.0,14232.0,10077.0,7081.0,5892.0,4239.0,2060.0,2455.0,1760.0,930.0,846.0
2013-01-08,1180.0,578337.0,454016.0,591947.0,407595.0,487842.0,274714.0,178315.0,162646.0,109726.0,92199.0,69861.0,60116.0,59958.0,17074.0,14278.0,10133.0,7354.0,5912.0,4244.0,2070.0,2469.0,1763.0,930.0,846.0
2013-01-09,1189.0,582167.0,453601.0,592144.0,406587.0,487731.0,279275.0,182699.0,166707.0,114335.0,94058.0,67373.0,59576.0,59328.0,17274.0,14419.0,10165.0,7359.0,5941.0,4258.0,2078.0,2483.0,1763.0,930.0,846.0
2013-01-10,1227.0,576912.0,463700.0,596101.0,417955.0,484251.0,282342.0,181627.0,170707.0,116902.0,93114.0,66736.0,60689.0,61028.0,16773.0,14619.0,10221.0,7436.0,5823.0,4254.0,2136.0,2649.0,1743.0,917.0,846.0
2013-01-11,1221.0,570827.0,466014.0,604256.0,412936.0,488624.0,283756.0,182449.0,169935.0,115678.0,100426.0,67021.0,62187.0,61434.0,16777.0,14646.0,10189.0,7573.0,5824.0,4231.0,2131.0,2649.0,1782.0,923.0,846.0
2013-01-14,1241.0,561284.0,454146.0,601071.0,421532.0,497978.0,289397.0,182262.0,172397.0,117075.0,98426.0,65945.0,62908.0,61021.0,16637.0,14390.0,10153.0,7736.0,5857.0,4245.0,2145.0,2662.0,1793.0,922.0,851.0
2013-01-15,1241.0,558778.0,458836.0,608570.0,422168.0,498801.0,286493.0,188495.0,176295.0,117883.0,98232.0,62999.0,61771.0,62102.0,16872.0,14276.0,10068.0,7713.0,5887.0,4248.0,2137.0,2661.0,1804.0,929.0,879.0
2013-01-16,1237.0,561426.0,458497.0,609651.0,423382.0,487206.0,289697.0,190745.0,183466.0,119272.0,101179.0,61870.0,62899.0,62099.0,17314.0,14367.0,10121.0,7560.0,5820.0,4253.0,2149.0,2707.0,1797.0,928.0,879.0
2013-01-17,1225.0,571023.0,456722.0,612231.0,429312.0,491608.0,293861.0,191794.0,183958.0,119823.0,103736.0,62500.0,63049.0,62588.0,18533.0,14347.0,10183.0,7556.0,5734.0,4226.0,2136.0,2730.0,1838.0,920.0,879.0
2013-01-18,1298.0,575287.0,460277.0,610392.0,433363.0,491521.0,301017.0,194455.0,183459.0,128389.0,105964.0,61863.0,62965.0,62000.0,19031.0,14151.0,10375.0,7606.0,5734.0,4206.0,2212.0,2717.0,1968.0,920.0,879.0
2013-01-22,1298.0,572030.0,464901.0,609642.0,441084.0,501199.0,297145.0,185593.0,186353.0,127585.0,109154.0,65000.0,63945.0,62987.0,19240.0,14215.0,10585.0,7698.0,5718.0,4185.0,2204.0,2701.0,1963.0,933.0,879.0
2013-01-23,1301.0,576652.0,459068.0,615387.0,443739.0,503861.0,296858.0,195265.0,189558.0,125967.0,106189.0,64071.0,62324.0,62752.0,18530.0,14156.0,10096.0,7338.0,5704.0,4188.0,2201.0,2694.0,1963.0,933.0,879.0
2013-01-24,1297.0,573992.0,453759.0,614560.0,446285.0,507399.0,300918.0,195058.0,192924.0,128145.0,109579.0,66762.0,64482.0,64045.0,18163.0,13871.0,10045.0,7212.0,5987.0,4325.0,2169.0,2668.0,2043.0,928.0,879.0
2013-01-25,1436.0,573071.0,454022.0,611399.0,441491.0,505396.0,297287.0,193264.0,189907.0,129361.0,109174.0,64927.0,63804.0,73054.0,17833.0,14034.0,9721.0,7326.0,6151.0,4360.0,2206.0,2492.0,2045.0,910.0,863.0
